time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-07T09:44:18.890Z,-29.008,-70.3583,92.49,4.8,mb,,52,0.186,0.78,us,us1000i425,2019-02-16T19:52:29.040Z,"61 km SE of Vallenar, Chile",earthquake,4.1,4.8,0.045,150,reviewed,us,us
2018-12-07T05:12:11.360Z,-28.747,-67.8543,128.82,4.3,mb,,89,2.125,0.87,us,us1000i3ys,2019-02-16T19:52:28.040Z,"34 km E of Vinchina, Argentina",earthquake,10,9.5,0.148,13,reviewed,us,us
2018-12-07T01:11:54.450Z,-7.6318,-74.754,146.92,4.5,mb,,72,2.033,1.33,us,us1000i3wf,2019-02-16T19:52:28.040Z,"43 km SE of Contamana, Peru",earthquake,8.4,8.7,0.145,14,reviewed,us,us
2018-12-06T05:24:14.280Z,-30.725,-71.4179,32.22,4.8,mb,,50,0.193,0.83,us,us1000i3ak,2019-02-16T19:52:26.040Z,"25 km WSW of Ovalle, Chile",earthquake,3.4,4.7,0.07,62,reviewed,us,us
2018-12-06T04:17:24.520Z,-14.8986,-75.8223,10,5,mb,,102,3.059,0.83,us,us1000i399,2019-02-16T19:52:26.040Z,"69 km WSW of Changuillo, Peru",earthquake,7.8,1.8,0.034,273,reviewed,us,us
2018-12-05T17:12:13.700Z,-33.6578,-71.6324,34.75,5,mww,,59,0.015,1.14,us,us1000i2xc,2019-02-16T19:52:24.040Z,"7 km SSW of San Antonio, Chile",earthquake,4.1,4.8,0.117,7,reviewed,us,us
2018-12-03T03:23:25.240Z,-33.9682,-72.411,10,4.1,mb,,79,0.732,0.68,us,us1000i48a,2019-02-16T19:52:15.040Z,"85 km WSW of San Antonio, Chile",earthquake,1.9,1.9,0.198,7,reviewed,us,us
2018-12-03T02:34:12.030Z,-34.0268,-72.4073,14.45,4.4,mwr,,125,0.756,0.91,us,us1000i0wr,2019-02-16T19:52:15.040Z,"88 km WSW of San Antonio, Chile",earthquake,4,3.7,0.038,66,reviewed,us,us
2018-12-02T11:04:18.030Z,-30.6485,-71.8774,24.25,4.5,mb,,125,0.21,0.89,us,us1000i0eu,2019-02-09T19:02:20.040Z,"65 km W of Ovalle, Chile",earthquake,5.1,7.4,0.204,7,reviewed,us,us
2018-12-01T23:59:21.080Z,-33.9443,-72.379,18.67,4.7,mwr,,78,0.698,0.73,us,us1000i02z,2019-02-09T19:02:19.040Z,"81 km WSW of San Antonio, Chile",earthquake,4.1,1.1,0.098,10,reviewed,us,us
2018-12-01T23:55:24.630Z,-33.9216,-72.401,10,5.5,mww,,47,0.706,0.8,us,us1000i02j,2019-02-16T23:50:50.292Z,"81 km WSW of San Antonio, Chile",earthquake,3.2,1.5,0.052,35,reviewed,us,us
2018-12-01T13:19:33.180Z,-30.6535,-71.6624,48.67,4.2,mb,,170,0.031,1.12,us,us1000hzje,2019-02-09T19:02:17.040Z,"44 km W of Ovalle, Chile",earthquake,5.8,12.2,0.199,7,reviewed,us,us
2018-12-01T11:30:50.070Z,-17.6607,-72.9686,10,4.2,mb,,146,2.597,1.2,us,us1000hzhi,2019-02-09T19:02:17.040Z,"117 km SW of Islay (Matarani), Peru",earthquake,6.5,1.9,0.177,9,reviewed,us,us
2018-11-30T18:36:24.470Z,-11.5973,-73.9212,10,4.5,mb,,89,2.886,1.17,us,us1000i3fa,2019-02-09T19:02:22.040Z,"65 km SE of Puerto Ocopa, Peru",earthquake,6.2,1.6,0.144,14,reviewed,us,us
